drug_name,active_ingredient,category
"DUBLEVENT 0,5 MG + 2,5 MG / 2,5 ML NEBÜLİZASYON ÇÖZELTİSİ","İPRATROPİUM BROMÜR, SALBUTAMOL SÜLFAT",Solunum
DEXPASS  50/300  MG  FİLM  KAPLI  TABLET,"DEKSKETOPROFEN TROMETAMOL, PARASETAMOL",Ağrı Kesici
DEXPASS  25 MG/300  MG  EFERVESAN TABLET,"DEKSKETOPROFEN TROMETAMOL, PARASETAMOL",Ağrı Kesici
"PAXLOVID 150 MG/100 MG FILM KAPLI TABLET(ÜRETİM YERİ: : ASCOLİ PİCENO, İTALYA)","NİRMATRELVİR, RİTONAVİR",Antiviral
AVELOX 400 MG FİLM KAPLI TABLET,MOKSİFLOKSASİN,Antibiyotik
TYLOL SUPOZİTUVAR,PARASETAMOL,Ağrı Kesici
AZEVAY 40 MG FILM KAPLI TABLET,ASCİMİNİB HİDROKLORÜR,Diğer / Sınıflandırılamadı
FUGAFYL 40 MG / ML ORAL SüSPANSIYON,POSAKONAZOL,Diğer / Sınıflandırılamadı
SPIKEVAX LP.8.1 50 MIKROGRAM ENJEKSIYONLUK DISPERSIYON İçEREN KULLANıMA HAZıR ENJEKTöR,"SARS-COV-2 LP.8.1,  COVID-19 MRNA AşıSı (NüKLEOSID MODIFIYE) (LIPID NANOPARTIKüLLERE GöMüLü)",Diğer / Sınıflandırılamadı
"CANLOX PLUS 32 MG/10 MG/12,5 MG TABLET","KANDESARTAN SİLEKSETİL, AMLODİPİN BESİLAT, HİDROKLOROTİYAZİD",Kalp/Tansiyon
"CANLOX PLUS 32 MG/5 MG/12,5 MG TABLET","KANDESARTAN SİLEKSETİL, AMLODİPİN BESİLAT, HİDROKLOROTİYAZİD",Kalp/Tansiyon
"CANLOX PLUS 16 MG/10 MG/12,5 MG TABLET","KANDESARTAN SİLEKSETİL, AMLODİPİN BESİLAT, HİDROKLOROTİYAZİD",Kalp/Tansiyon
"CANLOX PLUS 16 MG/5 MG/12,5 MG TABLET","KANDESARTAN SİLEKSETİL, AMLODİPİN BESİLAT, HİDROKLOROTİYAZİD",Kalp/Tansiyon
"CANLOX PLUS 8 MG/5 MG/12,5 MG TABLET","KANDESARTAN SİLEKSETİL, AMLODİPİN BESİLAT, HİDROKLOROTİYAZİD",Kalp/Tansiyon
"CANLOX PLUS 8 MG/2,5 MG/12,5 MG TABLET","KANDESARTAN SİLEKSETİL, AMLODİPİN BESİLAT, HİDROKLOROTİYAZİD",Kalp/Tansiyon
"PAXLOVID 150 MG/100 MG FILM KAPLI TABLET(ÜRETİM YERİ: FREİBURG IM BREİSGAU, ALMANYA)","NIRMATRELVIR,  RITONAVIR",Diğer / Sınıflandırılamadı
KEPPRA 100 MG/ML ORAL ÇÖZELTI,LEVETİRASETAM,Sinir Sistemi
İSOPTIN 40MG FILM TABLET,VERAPAMIL HIDROKLORÜR,Diğer / Sınıflandırılamadı
İSOPTIN 80MG FILM TABLET,VERAPAMIL HIDROKLORÜR,Diğer / Sınıflandırılamadı
İSOPTIN KKH 120MG UZATILMIŞ SALIMLI TABLET,VERAPAMIL HIDROKLORÜR,Diğer / Sınıflandırılamadı
İSOPTIN SR 240 MG UZATILMIŞ SALIMLI TABLET,VERAPAMIL HIDROKLORÜR,Diğer / Sınıflandırılamadı
DIAFORMIN 850 MG FILM KAPLI TABLET,METFORMIN HIDROKLORÜR,Diğer / Sınıflandırılamadı
İESPOR  1000 MG IM ENJEKSIYONLUK çöZELTI HAZıRLAMAK IçIN TOZ VE çöZüCü (ÜRETIM YERI: SANOFI),SEFAZOLIN SODYUM,Diğer / Sınıflandırılamadı
İESPOR  250 MG IM ENJEKSIYONLUK çöZELTI HAZıRLAMAK IçIN TOZ VE çöZüCü (ÜRETIM YERI: SANOFI),SEFAZOLIN SODYUM,Diğer / Sınıflandırılamadı
İESPOR  250 MG IM/IV ENJEKSIYONLUK çöZELTI HAZıRLAMAK IçIN TOZ VE çöZüCü (ÜRETIM YERI: SANOFI),SEFAZOLIN SODYUM,Diğer / Sınıflandırılamadı
İESPOR 500 MG IM ENJEKSIYONLUK çöZELTI HAZıRLAMAK IçIN TOZ VE çöZüCü (ÜRETIM YERI: SANOFI),SEFAZOLIN SODYUM,Diğer / Sınıflandırılamadı
ASPİRİN PLUS C 400 MG/240 MG EFERVESAN TABLET,"ASETİLSALİSİLİK ASİT, ASKORBİK ASİT",Ağrı Kesici
İESPOR 1000 MG IM/IV ENJEKSIYONLUK çöZELTI HAZıRLAMAK IçIN TOZ VE çöZüCü (ÜRETIM YERI: SANOFI),SEFAZOLIN SODYUM,Diğer / Sınıflandırılamadı
İESPOR 500 MG IM/IV ENJEKSIYONLUK çöZELTI HAZıRLAMAK IçIN TOZ VE çöZüCü (ÜRETIM YERI: SANOFI),SEFAZOLIN SODYUM,Diğer / Sınıflandırılamadı
ADRİMİSİN 50 MG LİYOFİLİZE ENJEKSİYONLUK TOZ İÇEREN FLAKON,DOKSORUBİSİN HİDROKLORÜR,Diğer / Sınıflandırılamadı
"REVOPAG 12,5 MG FİLM KAPLI TABLET",ELTROMBOPAG SESKİETANOLAMİN,Diğer / Sınıflandırılamadı
REVOPAG 25 MG FİLM KAPLI TABLET,ELTROMBOPAG SESKİETANOLAMİN,Diğer / Sınıflandırılamadı
REVOPAG 50 MG FİLM KAPLI TABLET,ELTROMBOPAG SESKİETANOLAMİN,Diğer / Sınıflandırılamadı
İESPOR  250 MG IM ENJEKSIYONLUK çöZELTI HAZıRLAMAK IçIN TOZ VE çöZüCü (ÜRETIM YERI: MENARINI),SEFAZOLIN SODYUM,Diğer / Sınıflandırılamadı
İESPOR  250 MG IM/IV ENJEKSIYONLUK çöZELTI HAZıRLAMAK IçIN TOZ VE çöZüCü (ÜRETIM YERI: MENARINI),SEFAZOLIN SODYUM,Diğer / Sınıflandırılamadı
İESPOR 500 MG IM ENJEKSIYONLUK çöZELTI HAZıRLAMAK IçIN TOZ VE çöZüCü (ÜRETIM YERI: MENARINI),SEFAZOLIN SODYUM,Diğer / Sınıflandırılamadı
İESPOR 500 MG IM/IV ENJEKSIYONLUK çöZELTI HAZıRLAMAK IçIN TOZ VE çöZüCü (ÜRETIM YERI: MENARINI),SEFAZOLIN SODYUM,Diğer / Sınıflandırılamadı
İESPOR  1000 MG IM ENJEKSIYONLUK çöZELTI HAZıRLAMAK IçIN TOZ VE çöZüCü (ÜRETIM YERI: MENARINI),SEFAZOLIN SODYUM,Diğer / Sınıflandırılamadı
İESPOR 1000 MG IM/IV ENJEKSIYONLUK çöZELTI HAZıRLAMAK IçIN TOZ VE çöZüCü (ÜRETIM YERI: MENARINI),SEFAZOLIN SODYUM,Diğer / Sınıflandırılamadı
STİVARGA 40 MG FİLM KAPLI TABLET,REGORAFENİB,Diğer / Sınıflandırılamadı
RILUTEK 50 MG FILM TABLET,RILUZOL,Diğer / Sınıflandırılamadı
CANLOX 32 MG/5 MG TABLET,KANDESARTAN SILEKSETIL/AMLODIPIN,Kalp/Tansiyon
CANLOX 32MG/ 10MG TABLET,KANDESARTAN SILEKSETIL/ AMLODIPIN BESILAT,Kalp/Tansiyon
HERAJİT 250 MG/2.5 ML IV ENJEKSİYONLUK ÇÖZELTİ,TRANEKSAMİK ASİT,Diğer / Sınıflandırılamadı
HERAJİT 250 MG/5 ML IV ENJEKSİYONLUK ÇÖZELTİ,TRANEKSAMİK ASİT,Diğer / Sınıflandırılamadı
KLAMER 500 MG FİLM KAPLITABLET,KLARİTROMİSİN,Antibiyotik
MIRENA 52 MG RAHIM IÇI SISTEM,LEVONORGESTREL,Diğer / Sınıflandırılamadı
FLUARIX 0.5 ML IM ENJEKSİYON İÇİN SÜSPANSİYON İÇEREN KULLANIMA HAZIR ENJEKTÖR,"İNFLUENZA VİRÜSÜ (İNAKTİF, SPLİT)",Diğer / Sınıflandırılamadı
REUMİL 20 MG FİLM KAPLI TABLET,LEFLUNOMİD,Diğer / Sınıflandırılamadı
"PEXA 0,25 MG TABLET",PRAMIPEKSOL,Diğer / Sınıflandırılamadı
CANLOX 16 MG/10 MG TABLET,KANDESARTAN SILEKSETIL/ AMLODIPIN,Kalp/Tansiyon
CANLOX 16 MG/5 MG TABLET,KANDESARTAN SILEKSETIL/ AMLODIPIN,Kalp/Tansiyon
CANLOX 8 MG/5 MG TABLET,"KANDESARTAN SILEKSETIL, AMLODIPIN BESILAT",Kalp/Tansiyon
"CANLOX 8 MG/2,5 MG TABLET","KANDESARTAN SILEKSETIL, AMLODIPIN BESILAT",Kalp/Tansiyon
TRISEQUENS FİLM KAPLI TABLET,"ÖSTRADİOL HEMİHİDRAT, NORETİSTERON ASETAT",Diğer / Sınıflandırılamadı
CASPAİS 50 MG İ.V. İNFÜZYONLUK ÇÖZELTİ HAZİRLAMAK İÇİN LİYOFİLİZE TOZ,KASPOFUNGIN ASETAT,Diğer / Sınıflandırılamadı
CASPAİS 70 MG İ.V. İNFÜZYONLUK ÇÖZELTİ HAZİRLAMAK İÇİN LİYOFİLİZE TOZ,KASPOFUNGIN ASETAT,Diğer / Sınıflandırılamadı
"PEXA 0,5 MG TABLET",PRAMIPEKSOL,Diğer / Sınıflandırılamadı
PEXA 1 MG TABLET,PRAMIPEKSOL,Diğer / Sınıflandırılamadı
PLAQUENİL 200 MG FILM KAPLı TABLET,HIDROKSIKLOROKIN SüLFAT,Diğer / Sınıflandırılamadı
INFLUVAC 0.5 ML/ IM/SC ENJEKSIYON İÇIN SÜSPANSIYON İÇEREN KULLANIMA HAZIR ENJEKTÖR,İNAKTIF GRIP VIRÜSÜ,Diğer / Sınıflandırılamadı
RUNOMEX FORT 15 MG TABLET,MELOKSİKAM,Ağrı Kesici
LANTUS  SOLOSTAR  100 U/ML  S.C. ENJEKSIYONLUK ÇöZELTI,İNSÜLIN GLARJIN,Diğer / Sınıflandırılamadı
"EFLUELDA 0,5 ML IM/SC ENJEKSIYONLUK SüSPANSIYON İçEREN KULLANıMA HAZıR ENJEKTöR",İNFLUENZA VIRüSü SUşLARı,Diğer / Sınıflandırılamadı
VAXİGRİP 0.5 ML IM/SC ENJEKSİYON İÇİN SÜSPANSİYON İÇEREN KULLANIMA HAZIR ENJEKTÖR,"TRIVALAN GRIP AşıSı (SPLIT VIRION, İNAKTIF)",Diğer / Sınıflandırılamadı
DAPRENZA 10 MG FILM KAPLı TABLET,DAPAGLIFLOZIN,Diğer / Sınıflandırılamadı
TRANASİTİL 250 MG/5 ML IV ENJEKSİYONLUK ÇÖZELTİ,TRANEKSAMIK ASIT,Diğer / Sınıflandırılamadı
EPİMAX 25 MG FİLM KAPLI TABLET,TOPİRAMAT,Diğer / Sınıflandırılamadı
SUNİKSA 50 MG SERT KAPSÜL,SUNİTİNİB MALAT,Diğer / Sınıflandırılamadı
QLAIRISTA FİLM KAPLI TABLET,ESTRADİOL VALERAT+DİENOGEST,Diğer / Sınıflandırılamadı
CİBİNQO 50 MG FİLM KAPLI TABLET,ABROSİTİNİB,Diğer / Sınıflandırılamadı
CİBİNQO 100 MG FİLM KAPLI TABLET,ABROSİTİNİB,Diğer / Sınıflandırılamadı
CİBİNQO 200 MG FİLM KAPLI TABLET,ABROSİTİNİB,Diğer / Sınıflandırılamadı
"NAZOSTER %0,05 BURUN SPREYİ, SÜSPANSİYON",MOMETAZON FUROAT,Diğer / Sınıflandırılamadı
GABATEVA 300 MG KAPSüL,GABAPENTIN,Diğer / Sınıflandırılamadı
TOUJEO 300 U/ML SOLOSTAR SC ENJEKSİYONLUK ÇÖZELTİ İÇEREN KULLANIMA HAZIR ENJEKSİYON KALEMİ,İNSÜLİN GLARJİN,Diyabet
CETEIX 250 MG SERT KAPSüL,KENODEOKSIKOLIK ASIT,Diğer / Sınıflandırılamadı
PANDEV 40 MG ENTERIK KAPLI TABLET,PANTOPRAZOL SODYUM SESKIHIDRAT,Mide
GADOVIST  1.0 MMOL /ML  IV ENJEKSİYONLUK ÇÖZELTİ İÇEREN ŞİŞE,GADOBUTROL,Diğer / Sınıflandırılamadı
EPİMAX 50 MG FİLM KAPLI TABLET,TOPİRAMAT,Diğer / Sınıflandırılamadı
"BENPAİN TRİO %0,15+%0,12+0,05 ORAL SPREY, ÇÖZELTİ","KLORHEKSİDİN GLUKONAT, BENZİDAMİN HİDROKLORÜR,SETİLPİRİDİNYUM",Diğer / Sınıflandırılamadı
"BORACTİB 3,5 MG I.V./S.C. ENJEKSİYONLUK ÇÖZELTİ İÇİN TOZ",BORTEZOMİB,Diğer / Sınıflandırılamadı
BENDAMUS 100 MG IV İNFÜZYON İÇIN LIYOFILIZE TOZ İÇEREN FLAKON,BENDAMUSTIN HIDROKLORÜR,Diğer / Sınıflandırılamadı
BENDAMUS 25 MG IV INFÜZYON IÇIN LIYOFILIZE TOZ IÇEREN FLAKON,BENDAMUSTIN HIDROKLORÜR,Diğer / Sınıflandırılamadı
SEVIKAR PLUS 40 MG/5 MG/25 MG FILM KAPLI TABLET,"OLMESARTAN MEDOKSOMIL, AMLODIPIN, HIDROKLOROTIYAZID",Diğer / Sınıflandırılamadı
SEVIKAR PLUS 40 MG/5 MG/12.5 MG FILM KAPLI TABLET,"OLMESARTAN MEDOKSOMIL, AMLODIPIN, HIDROKLOROTIYAZID",Diğer / Sınıflandırılamadı
SEVIKAR PLUS 40 MG/10 MG/12.5 MG FILM KAPLI TABLET,"OLMESARTAN MEDOKSOMIL, AMLODIPIN, HIDROKLOROTIYAZID",Diğer / Sınıflandırılamadı
