drug_name,active_ingredient,category,is_pediatric,is_chronic,form
"DUBLEVENT 0,5 MG + 2,5 MG / 2,5 ML NEBÜLİZASYON ÇÖZELTİSİ","İPRATROPİUM BROMÜR, SALBUTAMOL SÜLFAT",Solunum,False,True,İnhaler/Nebül
DEXPASS  50/300  MG  FİLM  KAPLI  TABLET,"DEKSKETOPROFEN TROMETAMOL, PARASETAMOL",Ağrı Kesici,False,False,Tablet
DEXPASS  25 MG/300  MG  EFERVESAN TABLET,"DEKSKETOPROFEN TROMETAMOL, PARASETAMOL",Ağrı Kesici,False,False,Tablet
"PAXLOVID 150 MG/100 MG FILM KAPLI TABLET(ÜRETİM YERİ: : ASCOLİ PİCENO, İTALYA)","NİRMATRELVİR, RİTONAVİR",Antiviral,False,False,Tablet
AVELOX 400 MG FİLM KAPLI TABLET,MOKSİFLOKSASİN,Antibiyotik,False,False,Tablet
TYLOL SUPOZİTUVAR,PARASETAMOL,Ağrı Kesici,False,False,Supozituvar
AZEVAY 40 MG FILM KAPLI TABLET,ASCİMİNİB HİDROKLORÜR,Onkoloji,False,True,Tablet
"CANLOX PLUS 32 MG/10 MG/12,5 MG TABLET","KANDESARTAN SİLEKSETİL, AMLODİPİN BESİLAT, HİDROKLOROTİYAZİD",Kalp/Tansiyon,False,True,Tablet
"CANLOX PLUS 32 MG/5 MG/12,5 MG TABLET","KANDESARTAN SİLEKSETİL, AMLODİPİN BESİLAT, HİDROKLOROTİYAZİD",Kalp/Tansiyon,False,True,Tablet
"CANLOX PLUS 16 MG/10 MG/12,5 MG TABLET","KANDESARTAN SİLEKSETİL, AMLODİPİN BESİLAT, HİDROKLOROTİYAZİD",Kalp/Tansiyon,False,True,Tablet
"CANLOX PLUS 16 MG/5 MG/12,5 MG TABLET","KANDESARTAN SİLEKSETİL, AMLODİPİN BESİLAT, HİDROKLOROTİYAZİD",Kalp/Tansiyon,False,True,Tablet
"CANLOX PLUS 8 MG/5 MG/12,5 MG TABLET","KANDESARTAN SİLEKSETİL, AMLODİPİN BESİLAT, HİDROKLOROTİYAZİD",Kalp/Tansiyon,False,True,Tablet
"CANLOX PLUS 8 MG/2,5 MG/12,5 MG TABLET","KANDESARTAN SİLEKSETİL, AMLODİPİN BESİLAT, HİDROKLOROTİYAZİD",Kalp/Tansiyon,False,True,Tablet
KEPPRA 100 MG/ML ORAL ÇÖZELTI,LEVETİRASETAM,Sinir Sistemi,False,True,Diğer
ASPİRİN PLUS C 400 MG/240 MG EFERVESAN TABLET,"ASETİLSALİSİLİK ASİT, ASKORBİK ASİT",Ağrı Kesici,False,False,Tablet
ADRİMİSİN 50 MG LİYOFİLİZE ENJEKSİYONLUK TOZ İÇEREN FLAKON,DOKSORUBİSİN HİDROKLORÜR,Onkoloji,False,True,Enjeksiyon/Flakon
